"","(Intercept)","Mkt.RF","date"
"139",-3.73350894379725,0.903793364562911,2019-08-30
"140",-3.75312490860232,0.910993220642813,2019-09-06
"141",-3.74634907758854,0.909151453833165,2019-09-13
"142",-3.74889557752224,0.895815065334856,2019-09-20
"143",-3.81530847620206,0.905473105352897,2019-09-27
"144",-3.86901731034461,0.9182631149482,2019-10-04
"145",-3.85534377577661,0.924731950743997,2019-10-11
"146",-3.91858722565673,0.917715369261685,2019-10-18
"147",-3.92174711697464,0.925556917556254,2019-10-25
"148",-3.96234005113412,0.927766253435121,2019-11-01
"149",-3.95298757386252,0.936618206384533,2019-11-08
"150",-3.93032524236956,0.935017303507609,2019-11-15
"151",-3.90713726174464,0.92925272390164,2019-11-22
"152",-3.93346177738062,0.920604757048146,2019-11-29
"153",-3.90831781689787,0.919733472696343,2019-12-06
"154",-3.91975412429193,0.917953984700261,2019-12-13
"155",-3.98755009613183,0.91377320062795,2019-12-20
"156",-3.97849743556335,0.91625110060088,2019-12-27
"157",-3.98084805463712,0.902536804181532,2020-01-03
"158",-4.03186364346712,0.883635392823444,2020-01-10
"159",-4.0450214556558,0.877867825104351,2020-01-17
"160",-4.06887261738968,0.880987736475915,2020-01-24
"161",-4.0960827828052,0.894394242260613,2020-01-31
"162",-4.08533717888669,0.824255094528521,2020-02-07
"163",-4.09208722715857,0.802830408703144,2020-02-14
"164",-4.12568636417422,0.79441109798202,2020-02-21
"165",-4.17976694227825,0.929155437581281,2020-02-28
"166",-4.22963627853113,0.930200999882521,2020-03-06
"167",-4.44376484312468,1.24766951106741,2020-03-13
"168",-4.52830308982359,1.25590581276643,2020-03-20
"169",-4.5731043889749,1.22326355972143,2020-03-27
"170",-4.40719501063746,1.17392538225086,2020-04-03
"171",-4.52344690923174,1.10580985961854,2020-04-09
"172",-4.51565971895928,1.11181710461379,2020-04-17
"173",-4.44040612831298,1.10503024877662,2020-04-24
"174",-4.35749773388884,1.10503566158948,2020-05-01
"175",-4.28258581481383,1.14005280563879,2020-05-08
"176",-4.27976265231331,1.13734289541172,2020-05-15
"177",-4.17405035239046,1.15624755687579,2020-05-22
"178",-4.2344937205356,1.14930932836426,2020-05-29
"179",-4.12070358426998,1.20506727804964,2020-06-05
"180",-4.07376762791031,1.20746367490032,2020-06-12
"181",-4.11768110176268,1.21384959543654,2020-06-19
"182",-4.17464701455748,1.2229027536916,2020-06-26
"183",-4.13525317857447,1.23325192212726,2020-07-02
"184",-4.18724865770369,1.22532265521536,2020-07-10
"185",-4.12564342086934,1.22875512582729,2020-07-17
"186",-4.09610193679607,1.22670493836791,2020-07-24
"187",-4.13785375386913,1.21998933684141,2020-07-31
"188",-4.11833316811628,1.2264999048281,2020-08-07
"189",-3.99293843575909,1.23138702113792,2020-08-14
"190",-4.05401861073189,1.22748461433038,2020-08-21
"191",-4.04846935390513,1.22880250413528,2020-08-28
"192",-4.01838436010854,1.22502194140592,2020-09-04
"193",-4.05765483108204,1.22375357151252,2020-09-11
"194",-3.97251359174308,1.22101829342757,2020-09-18
"195",-4.00943819340365,1.22333795126118,2020-09-25
"196",-4.0354863577099,1.22602809162934,2020-10-02
"197",-3.98425691882064,1.23860919755094,2020-10-09
"198",-3.95461189599571,1.23774120964143,2020-10-16
"199",-3.93370064937867,1.23260604617013,2020-10-23
"200",-3.90231952246748,1.24922796990354,2020-10-30
"201",-3.89290297559477,1.23148221748992,2020-11-06
"202",-3.69316925523865,1.26067241931237,2020-11-13
"203",-3.54941811876598,1.2597104291554,2020-11-20
"204",-3.45536384028894,1.28616854259986,2020-11-27
"205",-3.46551379554387,1.31027693967189,2020-12-04
"206",-3.42911571967063,1.3063667973817,2020-12-11
"207",-3.48450136832032,1.30641568399313,2020-12-18
"208",-3.47042903217381,1.31184072829362,2020-12-24
"209",-3.42675745813822,1.31412082411669,2020-12-31
"210",-3.31130406150549,1.33815874793322,2021-01-08
