"","date","regression.beta","beta"
"73",2017-05-26,1.39052552440255,1.39038440536368
"74",2017-06-02,1.3825486366616,1.3822678628593
"75",2017-06-09,1.37964206013627,1.37947676953999
"76",2017-06-16,1.38325188237966,1.38319945483601
"77",2017-06-23,1.38384219599568,1.38365918590206
"78",2017-06-30,1.38270379123806,1.38249889572684
"79",2017-07-07,1.38229811909386,1.38197904170125
"80",2017-07-14,1.42762390865225,1.4270813784394
"81",2017-07-21,1.39078428736878,1.39009805851918
"82",2017-07-28,1.40261845920448,1.40205492588395
"83",2017-08-04,1.39736664145686,1.39681156844585
"84",2017-08-11,1.39277428312281,1.39229222134118
"85",2017-08-18,1.38766275839095,1.38706056351196
"86",2017-08-25,1.38247673413368,1.38193069085635
"87",2017-09-01,1.4670621503588,1.46670691937396
"88",2017-09-08,1.47976008208096,1.47938717052435
"89",2017-09-15,1.49747316175728,1.49728212108869
"90",2017-09-22,1.49200205712569,1.49208915033694
"91",2017-09-29,1.47062858983965,1.47100295091306
"92",2017-10-06,1.3889880556304,1.38934396448943
"93",2017-10-13,1.39178691897091,1.39216406143694
"94",2017-10-20,1.42439589622801,1.42460244247972
"95",2017-10-27,1.42431623315941,1.42450295764553
"96",2017-11-03,1.413698522645,1.41421389407175
"97",2017-11-10,1.38083174896653,1.38142859570609
"98",2017-11-17,1.42325099807159,1.42337316851715
"99",2017-11-24,1.42282453303659,1.42296586569266
"100",2017-12-01,1.42324469430816,1.42325328453304
"101",2017-12-08,1.41424620166408,1.41425540564729
"102",2017-12-15,1.40159362077181,1.4014580174134
"103",2017-12-22,1.37375016208709,1.37413050753489
"104",2017-12-29,1.35951687656701,1.35979425880731
"105",2018-01-05,1.39942889643824,1.39984843086878
"106",2018-01-12,1.32180522886705,1.32227744325075
"107",2018-01-19,1.36154889115197,1.36146521749498
"108",2018-01-26,1.32356374569956,1.32333304268702
"109",2018-02-02,1.03336758222611,1.0328277280049
"110",2018-02-09,1.1751572308557,1.17455338092154
"111",2018-02-16,1.21939053897287,1.21859725493774
"112",2018-02-23,1.21186914858268,1.21143408537857
"113",2018-03-02,1.03235114410057,1.03231064394303
"114",2018-03-09,1.01263121788823,1.01229326338378
"115",2018-03-16,0.979915009650204,0.979875413623556
"116",2018-03-23,0.66967474899341,0.669903347748494
"117",2018-03-29,0.691622871432425,0.69191172117367
"118",2018-04-06,0.713045369452565,0.713527522324718
