"","date","regression.beta","beta"
"401",2017-08-04,1.31748574003848,1.31719426863043
"402",2017-08-07,1.30693911939036,1.30668606043042
"403",2017-08-08,1.29491028439963,1.29467832655087
"404",2017-08-09,1.29490552008801,1.29468131755817
"405",2017-08-10,1.2705987486343,1.27042323688621
"406",2017-08-11,1.26466268132177,1.26446491138082
"407",2017-08-14,1.22818017520347,1.22795112349398
"408",2017-08-15,1.27542676722743,1.27535822602097
"409",2017-08-16,1.29573898865496,1.29571343145281
"410",2017-08-17,1.27269051148932,1.27259569265879
"411",2017-08-18,1.28799545340746,1.28793601767918
"412",2017-08-21,1.28982648709699,1.28974897393087
"413",2017-08-22,1.31508638437029,1.31504639206773
"414",2017-08-23,1.29093850475752,1.29089404562246
"415",2017-08-24,1.29903208378888,1.29896508730509
"416",2017-08-25,1.29639939846966,1.29634767762541
"417",2017-08-28,1.25086233125089,1.25080719811792
"418",2017-08-29,1.25795918691857,1.25785155898473
"419",2017-08-30,1.25765737679991,1.25753037453828
"420",2017-08-31,1.25765777768433,1.25753891695933
"421",2017-09-01,1.23231863295168,1.23224638054478
"422",2017-09-05,1.19675078622579,1.19666505289829
"423",2017-09-06,1.22612088700207,1.22601196637478
"424",2017-09-07,1.24737480940436,1.24733677659939
"425",2017-09-08,1.20781382260121,1.20780234151399
"426",2017-09-11,1.20581196713478,1.20577521048699
"427",2017-09-12,1.20338848926121,1.20335468014662
"428",2017-09-13,1.21642771753065,1.21638249698674
"429",2017-09-14,1.21522759919232,1.21520133444464
"430",2017-09-15,1.2239598515925,1.22389155990631
"431",2017-09-18,1.30641258991402,1.30659875904628
"432",2017-09-19,1.30654882984411,1.3067515552296
"433",2017-09-20,1.306199356541,1.30642476521912
"434",2017-09-21,1.28411564985984,1.28437319300106
"435",2017-09-22,1.27247158310315,1.27277146587647
"436",2017-09-25,1.30850009634804,1.30881266756587
"437",2017-09-26,1.31114413104818,1.31143752772015
"438",2017-09-27,1.29937843141614,1.29970325610062
"439",2017-09-28,1.30444729571513,1.30479411886653
"440",2017-09-29,1.27616892852869,1.2765410452225
"441",2017-10-02,1.25259681112146,1.25295566965392
"442",2017-10-03,1.24244574406896,1.2427681679633
"443",2017-10-04,1.24671476272807,1.24705491914355
"444",2017-10-05,1.24922016861612,1.24955627279397
"445",2017-10-06,1.26522043326841,1.26550761121995
"446",2017-10-09,1.26467059367574,1.26497271980708
"447",2017-10-10,1.26905291860728,1.2693713400902
"448",2017-10-11,1.27185601401601,1.27217413125627
"449",2017-10-12,1.26656906845354,1.26690206037088
"450",2017-10-13,1.25493969984749,1.25526834222881
"451",2017-10-16,1.25553539446568,1.25586297375948
"452",2017-10-17,1.25351360529782,1.25384301093702
"453",2017-10-18,1.25478604754026,1.25511396540838
"454",2017-10-19,1.25086829006788,1.25120261685996
"455",2017-10-20,1.25665220924091,1.25698804393824
"456",2017-10-23,1.25533254584716,1.25565521484033
"457",2017-10-24,1.24030355237679,1.240604578806
"458",2017-10-25,1.26041612327408,1.26070156620877
"459",2017-10-26,1.24839304927718,1.24878681440295
"460",2017-10-27,1.20639953966121,1.20672107125059
"461",2017-10-30,1.19609105339246,1.19643890557587
"462",2017-10-31,1.19111751023589,1.19144932471145
"463",2017-11-01,1.19520653382454,1.19558495045864
"464",2017-11-02,1.19023895054422,1.1906312883836
"465",2017-11-03,1.18394508730247,1.1843865581062
"466",2017-11-06,1.17490903608456,1.17535037223439
"467",2017-11-07,1.17706786166939,1.17749986297656
"468",2017-11-08,1.17868523506404,1.17911504789413
"469",2017-11-09,1.17280069592657,1.17324308792304
"470",2017-11-10,1.16744094571537,1.1677966181125
"471",2017-11-13,1.10673798112823,1.1069762145397
"472",2017-11-14,1.13732159632995,1.13759082188911
"473",2017-11-15,1.15027436848647,1.15051003973436
"474",2017-11-16,1.12057820836553,1.12078008509985
"475",2017-11-17,1.06804718260401,1.06833124503125
"476",2017-11-20,1.06469019800396,1.06495837195494
"477",2017-11-21,1.05053555826675,1.05074116637203
"478",2017-11-22,1.0484382124078,1.04866583632536
"479",2017-11-24,1.05169815112424,1.05192888415218
"480",2017-11-27,1.05142661360592,1.05162791456284
"481",2017-11-28,1.09329920878437,1.0934730839072
"482",2017-11-29,1.08539786112345,1.08561489350447
"483",2017-11-30,1.09838337430076,1.09851833356923
"484",2017-12-01,1.0771421217884,1.07727304658615
"485",2017-12-04,1.08598016480893,1.08603067113324
"486",2017-12-05,1.07289522625113,1.07297567647046
"487",2017-12-06,1.06710412585234,1.06707712292621
"488",2017-12-07,1.06729778159634,1.06728311416913
"489",2017-12-08,1.08811635606028,1.08811296357033
"490",2017-12-11,1.08663340397904,1.08664493276893
"491",2017-12-12,1.09363713542553,1.09368124697548
"492",2017-12-13,1.03565727625078,1.03572782247223
"493",2017-12-14,0.994579132753997,0.994679482941634
"494",2017-12-15,0.967545472558338,0.967603233682362
"495",2017-12-18,0.979512023937419,0.979587848634348
"496",2017-12-19,0.959980855671403,0.960065463382503
"497",2017-12-20,0.918939247031294,0.91903691864187
"498",2017-12-21,0.929081277850398,0.929270665707546
"499",2017-12-22,0.946821455765585,0.946948442210759
"500",2017-12-26,0.940719257900305,0.940884948855666
"501",2017-12-27,0.921302795489284,0.921406685519768
"502",2017-12-28,0.892552381473989,0.89266449148059
"503",2017-12-29,0.895027724767338,0.895135245230897
"504",2018-01-02,0.893279640656422,0.893381322348229
"505",2018-01-03,0.915776337281124,0.915912410897689
"506",2018-01-04,0.907300265692468,0.907450654452196
"507",2018-01-05,0.895950243880579,0.896051000391975
"508",2018-01-08,0.896028324971239,0.896139676243224
"509",2018-01-09,0.892919777710043,0.89302661206256
"510",2018-01-10,0.897717803438421,0.897822567067126
"511",2018-01-11,0.900300983081838,0.900490601005208
"512",2018-01-12,0.912464043396219,0.91269172176873
"513",2018-01-16,0.883401869142522,0.883787708528035
"514",2018-01-17,0.90309177273672,0.903484338459679
"515",2018-01-18,0.898495801403433,0.898870700611443
"516",2018-01-19,0.894669158439544,0.89504641642798
"517",2018-01-22,0.899032699776528,0.899398271498111
"518",2018-01-23,0.893891840387825,0.894275684633105
"519",2018-01-24,0.891310332597906,0.891683148006847
"520",2018-01-25,0.893693537044595,0.894058394348611
"521",2018-01-26,0.907259422560991,0.907623478786759
"522",2018-01-29,0.906177416915748,0.906499557216687
"523",2018-01-30,0.916730745052211,0.91699880495886
"524",2018-01-31,0.918712952897983,0.918992598590675
"525",2018-02-01,0.911894556536864,0.912201432194944
"526",2018-02-02,0.947112479614562,0.947326451326269
"527",2018-02-05,0.904015593941459,0.90416325311729
"528",2018-02-06,0.859932420556775,0.860033587876303
