"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","revenue","sales_services_revenue","financing_revenue","other_revenue","cost_of_revenue","cost_of_goods_services","cost_of_financing_revenue","cost_of_other_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","provision_for_doubtful_accounts","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","acquired_in_process_r_d","merger_acquisition_expense","abnormal_derivatives","disposal_of_assets","early_extinguishment_of_debt","asset_write_down","impairment_of_goodwill_intangibles","sale_of_business","legal_settlement","restructuring_charges","sale_of_investments_unrealized_investments","insurance_settlement","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","current_income_tax","deferred_income_tax","tax_allowance_credit","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","accounting_charges_other","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","other_adjustments","net_income_common","time"
"11",378120,"COP","Q3",2017,2017-09-30,2017-10-31,2018-10-30,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm",FALSE,TRUE,"USD",6.688e+09,NA,NA,NA,-2.926e+09,NA,NA,NA,3.762e+09,NA,-3.188e+09,-1.1e+08,NA,NA,-7.3e+07,-1.608e+09,NA,-1.397e+09,5.74e+08,1e+07,-2.51e+08,NA,NA,NA,NA,1.96e+08,6.5e+07,5.84e+08,6.9e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53e+08,-2.17e+08,NA,NA,NA,NA,4.36e+08,NA,NA,NA,4.36e+08,-1.6e+07,4.2e+08,NA,NA,4.2e+08,"2017q3"
"12",378120,"COP","Q4",2017,2017-12-31,2018-02-20,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",8.119e+09,NA,NA,NA,-3.435e+09,NA,NA,NA,4.684e+09,NA,-3.501e+09,-1.25e+08,NA,NA,-2.14e+08,-1.633e+09,NA,-1.529e+09,1.183e+09,3.58e+08,-2.26e+08,NA,NA,NA,NA,1.98e+08,3.86e+08,1.541e+09,-2.16e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.325e+09,2.73e+08,NA,NA,NA,NA,1.598e+09,NA,NA,NA,1.598e+09,-1.9e+07,1.579e+09,NA,NA,1.579e+09,"2017q4"
"13",378120,"COP","Q1",2018,2018-03-31,2018-05-01,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",8.798e+09,NA,NA,NA,-3.714e+09,NA,NA,NA,5.084e+09,NA,-2.96e+09,-9.9e+07,NA,NA,-9.5e+07,-1.412e+09,NA,-1.354e+09,2.124e+09,-2.8e+07,-1.84e+08,NA,NA,NA,NA,2.08e+08,-5.2e+07,2.096e+09,-3.2e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.776e+09,-8.76e+08,NA,NA,NA,NA,9e+08,NA,NA,NA,9e+08,-1.2e+07,8.88e+08,NA,NA,8.88e+08,"2018q1"
"14",378120,"COP","Q2",2018,2018-06-30,2018-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",8.504e+09,NA,NA,NA,-3.064e+09,NA,NA,NA,5.44e+09,NA,-3.211e+09,-1.18e+08,NA,NA,-6.9e+07,-1.438e+09,NA,-1.586e+09,2.229e+09,5.04e+08,-1.77e+08,NA,NA,NA,NA,2.65e+08,4.16e+08,2.733e+09,-1.14e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.619e+09,-9.65e+08,NA,NA,NA,NA,1.654e+09,NA,NA,NA,1.654e+09,-1.4e+07,1.64e+09,NA,NA,1.64e+09,"2018q2"
"15",378120,"COP","Q3",2018,2018-09-30,2018-10-30,2018-10-30,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518311600/0001193125-18-311600-index.htm",FALSE,TRUE,"USD",9.449e+09,NA,NA,NA,-3.53e+09,NA,NA,NA,5.919e+09,NA,-3.395e+09,-1.19e+08,NA,NA,-1.03e+08,-1.494e+09,NA,-1.679e+09,2.524e+09,4.17e+08,-1.86e+08,NA,NA,NA,NA,2.94e+08,3.09e+08,2.941e+09,-3.5e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.906e+09,-1.033e+09,NA,NA,NA,NA,1.873e+09,NA,NA,NA,1.873e+09,-1.2e+07,1.861e+09,NA,NA,1.861e+09,"2018q3"
"16",378120,"COP","Q4",2018,2018-12-31,2019-02-19,2019-02-19,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",1.0913e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8068e+10,-6.5e+07,NA,NA,-1.02e+08,-1.612e+09,NA,-1.6289e+10,3.153e+09,-1.986e+09,-1.88e+08,NA,NA,NA,1.7e+07,-7.67e+08,-1.048e+09,1.167e+09,1.505e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.672e+09,-7.94e+08,NA,NA,NA,NA,1.878e+09,NA,NA,NA,1.878e+09,-1e+07,1.868e+09,NA,NA,1.868e+09,"2018q4"
"17",378120,"COP","Q1",2019,2019-03-31,2019-05-02,2019-05-02,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519134334/0001193125-19-134334-index.htm",FALSE,TRUE,"USD",9.15e+09,NA,NA,NA,-3.675e+09,NA,NA,NA,5.475e+09,NA,-3.355e+09,-1.53e+08,NA,NA,-1.1e+08,-1.546e+09,NA,-1.546e+09,2.12e+09,6.57e+08,-2.33e+08,NA,NA,NA,NA,1.88e+08,7.02e+08,2.777e+09,-9e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.687e+09,-8.41e+08,NA,NA,NA,NA,1.846e+09,NA,NA,NA,1.846e+09,-1.3e+07,1.833e+09,NA,NA,1.833e+09,"2019q1"
"18",378120,"COP","Q2",2019,2019-06-30,2019-08-01,2019-08-01,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519210077/0001193125-19-210077-index.htm",FALSE,TRUE,"USD",7.953e+09,NA,NA,NA,-2.674e+09,NA,NA,NA,5.279e+09,NA,-3.353e+09,-1.29e+08,NA,NA,-1.22e+08,-1.49e+09,NA,-1.612e+09,1.926e+09,1.8e+08,-1.65e+08,NA,NA,NA,NA,1.73e+08,1.72e+08,2.106e+09,-4.8e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.058e+09,-4.61e+08,NA,NA,NA,NA,1.597e+09,NA,NA,NA,1.597e+09,-1.7e+07,1.58e+09,NA,NA,1.58e+09,"2019q2"
"19",378120,"COP","Q3",2019,2019-09-30,2019-10-31,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",8.308e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.377e+09,-8.7e+07,NA,NA,-3.6e+08,-1.566e+09,NA,-4.364e+09,1.931e+09,-1.99e+08,-1.84e+08,NA,NA,NA,2.1e+07,NA,-3.6e+07,1.732e+09,1.761e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.493e+09,-4.22e+08,NA,NA,NA,NA,3.071e+09,NA,NA,NA,3.071e+09,-1.5e+07,3.056e+09,NA,NA,3.056e+09,"2019q3"
"20",378120,"COP","Q4",2019,2019-12-31,2020-02-18,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",9.293e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2747e+10,-1.87e+08,NA,NA,-1.51e+08,-1.488e+09,NA,-1.0921e+10,2.895e+09,-1.547e+09,-1.96e+08,NA,NA,NA,-8.7e+07,-3.61e+08,-9.03e+08,1.348e+09,-6.2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.286e+09,-5.43e+08,NA,NA,NA,NA,7.43e+08,NA,NA,NA,7.43e+08,-2.3e+07,7.2e+08,NA,NA,7.2e+08,"2019q4"
"21",378120,"COP","Q1",2020,2020-03-31,2020-05-05,2021-05-16,"https://simfin.com/pdf-extractor/74006/4",FALSE,TRUE,"USD",4.853e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.747e+09,3e+06,NA,NA,-1.88e+08,-1.411e+09,NA,-4.151e+09,-8.94e+08,-1.06e+08,-2.02e+08,NA,NA,NA,9e+07,NA,6e+06,-1e+09,-5.63e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.563e+09,-1.48e+08,NA,NA,NA,NA,-1.711e+09,NA,NA,NA,-1.711e+09,-2.8e+07,-1.739e+09,NA,NA,-1.739e+09,"2020q1"
"22",378120,"COP","Q2",2020,2020-06-30,2020-08-04,2021-08-16,"https://simfin.com/pdf-extractor/74038/4",FALSE,TRUE,"USD",3.42e+09,NA,NA,NA,-1.13e+09,NA,NA,NA,2.29e+09,NA,-2.665e+09,-1.56e+08,NA,NA,-9.7e+07,-1.158e+09,NA,-1.254e+09,-3.75e+08,-2.02e+08,-2.02e+08,NA,NA,NA,-7e+06,NA,7e+06,-5.77e+08,5.98e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1e+07,2.57e+08,NA,NA,NA,NA,2.78e+08,NA,NA,NA,2.78e+08,-1.8e+07,2.6e+08,NA,NA,2.6e+08,"2020q2"
"23",378120,"COP","Q3",2020,2020-09-30,2020-11-03,2020-11-16,"https://simfin.com/pdf-extractor/74007/4",FALSE,TRUE,"USD",4.383e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.675e+09,-9.6e+07,NA,NA,-1.25e+08,-1.411e+09,NA,-3.043e+09,-2.92e+08,-2.15e+08,-2e+08,NA,NA,NA,5e+06,NA,-2e+07,-5.07e+08,-5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.12e+08,6.2e+07,NA,NA,NA,NA,-4.5e+08,NA,NA,NA,-4.5e+08,NA,-4.5e+08,NA,NA,-4.5e+08,"2020q3"
"24",378120,"COP","Q4",2020,2020-12-31,2021-02-16,2021-05-16,"https://simfin.com/pdf-extractor/74006/4",FALSE,TRUE,"USD",6.051e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.749e+09,-1.81e+08,NA,NA,-1.047e+09,-1.541e+09,NA,-4.98e+09,-5.68e+08,-2.24e+08,-2.02e+08,NA,NA,NA,-1.6e+07,NA,-6e+06,-7.92e+08,-2.94e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.086e+09,3.14e+08,NA,NA,NA,NA,-7.72e+08,NA,NA,NA,-7.72e+08,0,-7.72e+08,NA,NA,-7.72e+08,"2020q4"
